category,rank,name,url,description,stars,forks,language,topics,score,star_velocity,why_recommended
top_overall,1,EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,:books: Freely available programming books,376842,65385,Python,"books, education, hacktoberfest, list, resource",1.0,85.31627801675346,"Highly popular (376,842 stars); Rising star; Recently updated; High quality; Has license"
top_overall,2,donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.,326471,53163,Python,"design, design-patterns, design-system, development, interview",1.0,102.56707508639649,"Highly popular (326,471 stars); Rising star; Recently updated; High quality; Has license"
top_overall,3,vinta/awesome-python,https://github.com/vinta/awesome-python,"An opinionated list of awesome Python frameworks, libraries, software and resources.",269349,26695,Python,"awesome, collections, python, python-framework, python-library",1.0,64.77849927849928,"Highly popular (269,349 stars); Rising star; Recently updated; High quality; Has license"
top_overall,4,TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,All Algorithms implemented in Python,213089,49252,Python,"algorithm, algorithm-competitions, algorithms-implemented, algos, community-driven",1.0,62.526115023474176,"Highly popular (213,089 stars); Rising star; Recently updated; High quality; Has license"
top_overall,5,Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.",179693,46122,Python,"ai, artificial-intelligence, autonomous-agents, gpt-4, llama-api",1.0,184.48973305954826,"Highly popular (179,693 stars); Rising star; Recently updated; High quality; Has license"
top_overall,6,AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,Stable Diffusion web UI,158202,29366,Python,"ai, ai-art, deep-learning, diffusion, gradio",1.0,134.06949152542373,"Highly popular (158,202 stars); Rising star; Recently updated; High quality; Has license"
top_overall,7,huggingface/transformers,https://github.com/huggingface/transformers,"🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. ",152518,31144,Python,"audio, deep-learning, deepseek, gemma, glm",1.0,59.276331130975514,"Highly popular (152,518 stars); Rising star; Recently updated; High quality; Has license"
top_overall,8,langflow-ai/langflow,https://github.com/langflow-ai/langflow,Langflow is a powerful tool for building and deploying AI-powered agents and workflows.,138223,7987,Python,"agents, chatgpt, generative-ai, large-language-models, multiagent",1.0,136.85445544554455,"Highly popular (138,223 stars); Rising star; Recently updated; High quality; Has license"
top_overall,9,yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp,A feature-rich command-line audio/video downloader,135064,10849,Python,"cli, downloader, python, sponsorblock, youtube-dl",1.0,73.20542005420054,"Highly popular (135,064 stars); Rising star; Recently updated; High quality; Has license"
top_overall,10,comfyanonymous/ComfyUI,https://github.com/comfyanonymous/ComfyUI,"The most powerful and modular diffusion model GUI, api and backend with a graph/nodes interface.",93588,10557,Python,"ai, comfy, comfyui, python, pytorch",1.0,90.68604651162791,"Highly popular (93,588 stars); Rising star; Recently updated; High quality; Has license"
rising_stars,1,Snapchat/Valdi,https://github.com/Snapchat/Valdi,Valdi is a cross-platform UI framework that delivers native performance without sacrificing developer velocity.,8895,275,C++,"android, cross-platform, ios, typescript",0.96685,1111.875,"Highly popular (8,895 stars); Rising star; Recently updated; High quality; Has license"
rising_stars,2,deepseek-ai/DeepSeek-OCR,https://github.com/deepseek-ai/DeepSeek-OCR,Contexts Optical Compression,20441,1719,Python,,0.92,730.0357142857143,"Highly popular (20,441 stars); Rising star; Recently updated; Has license"
rising_stars,3,toon-format/toon,https://github.com/toon-format/toon,"🎒 Token-Oriented Object Notation (TOON) – Compact, human-readable, schema-aware JSON for LLM prompts. Spec, benchmarks, TypeScript SDK.",15332,609,TypeScript,"data-format, llm, serialization, tokenization",1.0,666.6086956521739,"Highly popular (15,332 stars); Rising star; Recently updated; High quality; Has license"
rising_stars,4,NoFxAiOS/nofx,https://github.com/NoFxAiOS/nofx,"NOFX: Defining the Next-Generation AI Trading Operating System. A multi-exchange Al trading platform(Binance/Hyperliquid/Aster) with multi-Ai competition(deepseek/qwen/claude)self-evolution, and real-time dashboard",7557,1932,Go,"agentic-ai, agentictrading, ai, ai-trading, aitradingos",0.9267099999999999,444.52941176470586,"Highly popular (7,557 stars); Rising star; Recently updated; High quality; Has license"
rising_stars,5,diet103/claude-code-infrastructure-showcase,https://github.com/diet103/claude-code-infrastructure-showcase,"Examples of my Claude Code infrastructure with skill auto-activation, hooks, and agents",6570,834,Shell,,0.8571000000000001,438.0,"Highly popular (6,570 stars); Rising star; Recently updated; Has license"
rising_stars,6,HKUDS/AI-Trader,https://github.com/HKUDS/AI-Trader,"""AI-Trader: Can AI Beat the Market?"" Live Trading Bench: https://ai4trade.ai",9362,1423,Python,,0.94086,425.54545454545456,"Highly popular (9,362 stars); Rising star; Recently updated; Has license"
rising_stars,7,cryptocj520/crypto-trading-open,https://github.com/cryptocj520/crypto-trading-open,crypto-trading-open,1093,630,Python,,0.61279,364.3333333333333,"Highly popular (1,093 stars); Rising star; Recently updated"
rising_stars,8,deepseek-ai/DeepSeek-V3,https://github.com/deepseek-ai/DeepSeek-V3,,100276,16344,Python,,0.8800000000000001,310.4520123839009,"Highly popular (100,276 stars); Rising star; Recently updated; Has license"
rising_stars,9,ByteDance-Seed/Depth-Anything-3,https://github.com/ByteDance-Seed/Depth-Anything-3,Depth Anything 3,566,25,Jupyter Notebook,,0.63698,283.0,Popular (566 stars); Rising star; Recently updated; Has license
rising_stars,10,facebookresearch/omnilingual-asr,https://github.com/facebookresearch/omnilingual-asr,Omnilingual ASR Open-Source Multilingual SpeechRecognition for 1600+ Languages,1808,133,Python,,0.6742400000000001,226.0,"Highly popular (1,808 stars); Rising star; Recently updated; Has license"
hidden_gems,1,AIDC-AI/Pixelle-Video,https://github.com/AIDC-AI/Pixelle-Video,🚀 AI 全自动短视频引擎 | AI Fully Automated Short Video Engine,191,29,Python,"aigc, comfyui, image-generation, tts, video-generation",0.5921585714285715,27.285714285714285,Rising star; Recently updated; High quality; Has license
